@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50'

@attribute Code numeric
@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'CS Major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Standing {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute 'Took 416_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '416 Grade' numeric
@attribute 'Took 515_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '515 Grade' numeric
@attribute 'Took 520_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '520 Grade' numeric
@attribute Semester {'\'(-inf-0.75]\'','\'(0.75-1.5]\'','\'(1.5-2.25]\'','\'(2.25-inf)\''}
@attribute 'Graduated with CS Degree_1' {'\'(-inf-0]\'','\'(0-inf)\''}

@data
213,0.74,0.5,0.94,0,0.5,0.44,0,0.97,0.45,0.55,0,0,0,1,1,0.41,0,1,0.54,0.62,0.42,0,1,0.58,0.58,0.38,0.18,0.49,0.76,0.71,0.78,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.5,-0.01,-0.02,-0.45,-0.5,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
297,0.71,0.66,0.81,0,0.7,0.68,0.2,1,0,0.55,0.33,0,1,0.5,0.75,0.68,0,1,0.08,0.38,0.83,0,1,0.08,0.17,0.47,0.24,0.59,0.87,0.82,0.89,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(4.285714-5.142857]\'',0.69,0,-0.18,0.04,-0.29,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
12,0.71,0.53,0.88,0,0.5,0.62,0.2,1,0,0.55,0.65,0,1,0.13,0.5,0.64,0,1,0.15,0.46,0.89,0,1,0.08,0.08,0.3,0.2,0.38,0.7,0.56,0.77,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.64,-0.04,-0.09,-0.04,-0.21,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
58,0.58,0.4,0.74,0,0.7,0.49,0,1,0.09,0.55,0.76,0,1,0.13,0.25,0.51,0,1,0.15,0.62,0.92,0,1,0.08,0.08,0.29,0.18,0.38,0.55,0.38,0.7,'\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.52,-0.09,-0.52,-0.11,0.17,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
304,0.92,0.84,1,0,0,0.89,0,1,0.09,0.09,0.58,0,1,0.38,0.5,0.99,0.91,1,0,0,0.97,0.83,1,0,0,0.94,0.85,0.99,0.88,0.79,0.97,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.92,-0.05,0.16,-0.02,-0.05,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',2.67,'\'(-inf-0.75]\'','\'(0-inf)\''
54,0.37,0,0.75,0.4,0.7,0.5,0,1,0.45,0.55,0,0,0,1,1,0.21,0,1,0.77,0.77,0.17,0,1,0.83,0.83,0.3,0,0.51,0.65,0.48,0.83,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(3.2-inf)\'','\'(-inf-0.857143]\'',0.42,0.34,-0.23,0.15,0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
360,0.9,0.72,1,0,0,0.61,0,0.95,0.27,0.36,0.47,0,1,0.5,0.5,0.77,0,1,0.15,0.23,0.74,0,1,0.25,0.25,0.88,0.8,0.98,0.91,0.85,0.95,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.71,-0.06,0.05,0.31,0.19,'\'(0.5-inf)\'',2.67,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',0.67,'\'(-inf-0.75]\'','\'(-inf-0]\''
344,0.8,0.5,0.97,0,0.1,0.8,0,1,0.09,0.09,0.61,0,1,0.25,0.5,0.9,0.42,1,0,0.15,0.75,0,1,0.25,0.25,0.84,0.71,0.95,0.74,0.68,0.78,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.81,-0.1,0.07,0,0.17,'\'(0.5-inf)\'',0.67,'\'(0.5-inf)\'',2.33,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
215,0.69,0.41,1,0,0.5,0.43,0,1,0.18,0.73,0.36,0,1,0.5,0.63,0.66,0,1,0.23,0.38,0.58,0,1,0.42,0.42,0.41,0.21,0.57,0.66,0.49,0.76,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.51,-0.01,-0.42,-0.48,-0.5,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
185,0.88,0.72,1,0,0,0.92,0.8,1,0,0,0.83,0,1,0.13,0.25,0.94,0.67,1,0,0.15,0.82,0,1,0.17,0.17,0.98,0.93,1,0.82,0.75,0.92,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.9,-0.07,-0.02,0.01,-0.31,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',3.67,'\'(0.5-inf)\'',4,'\'(-inf-0.75]\'','\'(0-inf)\''
269,0.54,0,0.87,0.1,0.6,0.18,0,1,0.82,0.82,0.41,0,1,0.5,0.63,0.17,0,1,0.69,0.92,0.55,0,1,0.25,0.67,0.07,0,0.21,0.34,0,0.77,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.26,-0.4,-0.33,-0.31,-0.58,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
191,0.61,0.38,0.87,0,0.8,0.41,0,0.99,0.36,0.73,0.43,0,1,0.38,0.75,0.48,0,1,0.46,0.54,0.9,0,1,0.08,0.08,0.23,0.08,0.45,0.67,0.57,0.8,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.48,-0.17,-0.62,-0.27,0.21,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
226,0.81,0.56,0.9,0,0.1,0.75,0,0.98,0.18,0.18,0.57,0,1,0.25,0.5,0.95,0.75,1,0,0,0.99,0.86,1,0,0,0.88,0.78,0.98,0.91,0.89,0.93,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.81,0.03,-0.39,-0.01,-0.02,'\'(0.5-inf)\'',3.67,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',2.33,'\'(-inf-0.75]\'','\'(0-inf)\''
67,0.6,0.43,0.73,0,0.8,0.57,0,0.97,0.18,0.55,0.81,0.25,1,0,0.25,0.81,0,1,0.08,0.15,0.97,0.83,1,0,0,0.44,0.19,0.6,0.87,0.85,0.89,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.68,-0.02,0.07,-0.1,-0.06,'\'(0.5-inf)\'',2.33,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
327,0.62,0.44,0.9,0,0.7,0.73,0,1,0.09,0.18,0.3,0,1,0.5,0.88,0.8,0,1,0.15,0.23,0.75,0,1,0.17,0.25,0.45,0.27,0.58,0.76,0.72,0.78,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.68,-0.11,-0.15,-0.36,0.34,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
114,0.17,0,0.56,0.6,1,0.07,0,0.8,0.91,0.91,0.31,0,1,0.63,0.75,0.31,0,1,0.69,0.69,0.35,0,1,0.58,0.67,0.08,0,0.25,0.24,0,0.72,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.15,-0.34,-0.13,-0.57,-0.71,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
329,0.64,0.38,0.77,0,0.6,0.67,0,1,0.09,0.27,0.81,0.25,1,0,0.25,0.76,0,1,0.15,0.23,0.92,0.5,1,0,0.08,0.39,0.14,0.65,0.73,0.67,0.77,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.7,0,-0.15,-0.11,0.01,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
106,0.91,0.68,1,0,0.1,0.94,0.71,1,0,0,0.96,0.75,1,0,0,1,1,1,0,0,0.99,0.86,1,0,0,0.98,0.95,1,0.94,0.9,0.98,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.95,0.06,0.01,0,0.02,'\'(0.5-inf)\'',3.67,'\'(0.5-inf)\'',2.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
94,0.54,0.31,0.78,0,0.7,0.63,0.15,0.95,0,0.55,0.45,0.11,1,0,0.75,0.77,0.33,1,0,0.38,0.97,0.75,1,0,0,0.45,0.24,0.58,0.58,0.49,0.63,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.65,-0.15,-0.06,-0.02,0.01,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
163,0.52,0.22,0.7,0,0.9,0.59,0,0.98,0.18,0.45,0.49,0,1,0.38,0.63,0.78,0,1,0.15,0.23,0.92,0.67,1,0,0.08,0.43,0.22,0.56,0.5,0.47,0.54,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.61,-0.06,-0.12,-0.13,0.01,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
57,0.73,0.53,0.91,0,0.3,0.89,0.61,1,0,0.18,0.89,0.61,1,0,0.13,0.95,0.75,1,0,0,0.57,0,1,0.33,0.5,0.88,0.76,0.98,0.89,0.81,0.93,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.83,0.13,-0.14,-0.05,-0.67,'\'(0.5-inf)\'',1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
256,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0,0,0,0,0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
118,0.68,0.44,0.91,0,0.5,0.79,0,1,0.09,0.09,0.69,0,1,0.25,0.25,0.81,0,1,0.15,0.15,0.74,0,1,0.25,0.25,0.57,0.54,0.59,0.84,0.75,0.92,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.74,-0.06,-0.24,-0.33,-0.15,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
268,0.58,0.33,0.81,0,0.8,0.38,0,0.85,0.27,0.64,0.36,0,1,0.38,0.75,0.81,0,1,0.08,0.23,0.9,0,1,0.08,0.08,0.39,0.18,0.6,0.64,0.51,0.8,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.5,-0.07,-0.61,-0.14,-0.19,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
153,0.86,0.69,1,0,0.1,0.96,0.84,1,0,0,0.88,0.5,1,0,0.25,1,1,1,0,0,0.83,0,1,0.17,0.17,0.86,0.8,0.97,0.92,0.88,0.95,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(2.4-3.2]\'','\'(-inf-0.857143]\'',0.92,-0.09,-0.03,0,0.01,'\'(0.5-inf)\'',3.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
315,0.7,0.53,0.87,0,0.4,0.83,0.49,1,0,0.27,0.43,0,1,0.5,0.63,0.91,0,1,0.08,0.08,0.92,0,1,0.08,0.08,0.66,0.42,0.8,0.81,0.78,0.86,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.8,-0.16,-0.04,-0.17,-0.17,'\'(0.5-inf)\'',3.33,'\'(0.5-inf)\'',2.67,'\'(0.5-inf)\'',2.67,'\'(-inf-0.75]\'','\'(0-inf)\''
203,0.82,0.66,0.97,0,0.1,0.98,0.9,1,0,0,0.94,0.75,1,0,0,0.95,0.75,1,0,0,0.96,0.5,1,0,0.08,0.76,0.68,0.81,0.92,0.87,0.98,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.93,0.07,0.03,-0.03,0.08,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',3.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
